Country,Average Decade Change,Average Decade Change (%),1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,Net Change,2020 Global Rank,2020 Global Percent,2020 Median Age,2020 Birth Rate,2020 Migrants
Reunion,96779,15,473925,551674,658992,785424,890130,957822,483897,161,0.01,Unknown,Unknown,Unknown
Romania,-96116,0,19922618,22125224,22836234,21919876,20335211,19442038,-480580,62,0.25,43,1.6,-73999.0
Russia,3104864,2,130093010,138257420,148005704,146844839,143242599,145617329,15524319,9,1.86,40,1.8,182456.0
Rwanda,1849999,28,3896367,5247532,7319962,8109989,10309031,13146362,9249995,76,0.17,20,4.1,-9000.0
Saint Barthelemy,1653,36,2417,2983,5168,7082,8988,10681,8264,228,0.0,Unknown,Unknown,Unknown
Saint Kitts and Nevis,535,1,44968,43097,40636,45461,47403,47642,2674,211,0.0,Unknown,Unknown,Unknown
Saint Lucia,15229,12,103090,121633,142301,159500,170935,179237,76147,190,0.0,34,1.4,0.0
Saint Martin,5350,63,5802,7776,28127,29610,36458,32552,26750,220,0.0,Unknown,Unknown,Unknown
Saint Pierre and Miquelon,74,1,5537,6106,6324,6274,6052,5906,369,229,0.0,Unknown,Unknown,Unknown
Saint Vincent and the Grenadines,1235,1,98459,107480,112487,113813,109308,104632,6173,199,0.0,Unknown,Unknown,Unknown
Samoa,14432,9,142771,164905,168186,184008,194672,214929,72158,188,0.0,22,3.9,-2803.0
San Marino,3168,13,18169,21346,23132,26823,31608,34007,15838,218,0.0,Unknown,Unknown,Unknown
Sao Tome and Principe,28212,23,77583,97210,120343,143714,182138,218641,141058,187,0.0,Unknown,Unknown,Unknown
Saudi Arabia,5978183,43,6106191,10171710,16004763,21547390,29411929,35997107,29890916,41,0.46,32,2.3,134979.0
Senegal,2413675,30,4367744,5703869,7536001,9704287,12530121,16436119,12068375,72,0.21,19,4.7,-20000.0
Serbia,32894,1,7193533,7777010,7987529,7935022,7653748,7358005,164472,104,0.09,42,1.5,4000.0
Seychelles,10230,14,54379,65290,71057,80060,92409,105530,51151,197,0.0,34,2.5,-200.0
Sierra Leone,1091082,25,2778557,3367477,4325388,4584067,6436698,8233969,5455412,102,0.11,19,4.3,-4200.0
Singapore,769608,24,2061831,2400729,3022209,4053602,5163590,5909869,3848038,113,0.08,42,1.2,27028.0
Sint Maarten,7472,55,6260,12243,27845,30489,33034,43621,37361,214,0.0,Unknown,Unknown,Unknown
Slovakia,186763,4,4522867,4973883,5261305,5376690,5396424,5456681,933814,118,0.07,41,1.5,1485.0
Slovenia,75271,4,1741286,1901570,1986024,1984339,2057286,2117641,376355,148,0.03,45,1.6,2000.0
Solomon Islands,103672,32,172833,233668,324171,429978,540394,691191,518358,166,0.01,20,4.4,-1600.0
Somalia,2563208,35,3720977,5892224,6999096,8721465,12026649,16537016,12816039,71,0.21,17,6.1,-40000.0
South Africa,7286724,22,22368306,29463549,39877570,46813266,51784921,58801927,36433621,25,0.75,28,2.4,145405.0
South Korea,3848709,10,32601143,38170501,44120039,46788591,48813042,51844690,19243547,28,0.66,44,1.1,11731.0
South Sudan,1452763,27,3342410,4192011,4750817,6114440,9714419,10606227,7263817,86,0.14,19,4.7,-174200.0
Spain,2714238,7,33792617,37491666,38889889,40741651,46572772,47363807,13571190,30,0.6,45,1.3,40000.0
Sri Lanka,1865262,12,12388769,14943645,17204094,18776371,20668557,21715079,9326310,58,0.28,34,2.2,-97986.0
Sudan,6627056,32,11305206,16673586,21090886,26298773,33739933,44440486,33135280,32,0.57,20,4.4,-50000.0
Suriname,45429,10,379918,375112,412756,478998,546080,607065,227147,170,0.01,29,2.4,-1000.0
Sweden,468253,5,8027702,8311763,8548406,8871043,9381729,10368969,2341267,89,0.13,41,1.9,40000.0
Switzerland,491477,7,6181227,6319113,6711693,7182059,7822435,8638613,2457386,100,0.11,43,1.5,52000.0
Syria,2890679,28,6319199,8898954,12408996,16307654,22337563,20772595,14453396,61,0.26,26,2.8,-427391.0
Taiwan,1772719,10,14957870,18100281,20586174,22194731,23083083,23821464,8863594,57,0.3,42,1.2,30001.0
Tajikistan,1310038,26,2993019,4045965,5417860,6272998,7621779,9543207,6550188,96,0.12,22,3.6,-20000.0
Tanzania,9617265,35,13618192,19297659,26206012,34463704,45110527,61704518,48086326,23,0.79,18,4.9,-40076.0
Thailand,7136787,15,35791728,45737753,55228410,63066603,68270489,71475664,35683936,20,0.91,40,1.5,19444.0
Timor-Leste,149195,19,554021,642224,758106,878360,1088486,1299995,745974,156,0.02,21,4.1,-5385.0
Togo,1249039,31,2197383,2838110,3875947,5008035,6571855,8442580,6245197,101,0.11,19,4.4,-2000.0
Tokelau,23,3,1714,1647,1669,1666,1367,1827,113,233,0.0,Unknown,Unknown,Unknown
Tonga,3754,4,86484,96708,98727,102603,107383,105254,18770,198,0.0,22,3.6,-800.0
Trinidad and Tobago,105851,9,988890,1127852,1266518,1332203,1410296,1518147,529257,153,0.02,36,1.7,-800.0
Tunisia,1422864,20,5047404,6578156,8440023,9893316,10895063,12161723,7114319,79,0.16,33,2.2,-4000.0
Turkey,9718888,19,35540990,44089069,54324142,64113547,73195345,84135428,48594438,18,1.07,32,2.1,283922.0
Turkmenistan,809801,23,2201432,2862903,3720278,4569132,5267970,6250438,4049006,112,0.08,27,2.8,-5000.0
Turks and Caicos Islands,7722,51,5665,7598,11709,18744,29726,44276,38611,213,0.0,Unknown,Unknown,Unknown
Tuvalu,1051,14,5814,7731,9182,9638,10550,11069,5255,227,0.0,Unknown,Unknown,Unknown
Uganda,6817480,34,10317212,13284026,17586630,24020697,32341728,44404611,34087399,33,0.57,17,5.0,168694.0
Ukraine,-673884,-1,47279086,49973920,51589817,48879755,45683020,43909666,-3369420,34,0.56,41,1.4,10000.0
United Arab Emirates,1797841,114,298084,1014048,1900151,3275333,8481771,9287289,8989205,97,0.12,33,1.4,40000.0
United Kingdom,2281862,4,55650166,56326328,57210442,58850043,62760039,67059474,11409308,21,0.86,40,1.8,260650.0
United States,27122733,11,200328340,223140018,248083732,282398554,311182845,335942003,135613663,3,4.29,38,1.8,954806.0
United States Virgin Islands,7399,11,63446,96640,100685,108185,106142,100442,36996,200,0.0,Unknown,Unknown,Unknown
Uruguay,127764,4,2790265,2953750,3117012,3292224,3352651,3429086,638821,133,0.04,36,2.0,-3000.0
Uzbekistan,4303059,23,12011361,15947129,20579100,24925554,28614227,33526656,21515295,42,0.43,28,2.4,-8863.0
Vanuatu,44933,29,87019,118156,150882,192074,245453,311685,224666,181,0.0,21,3.8,120.0
Vatican City,-46,-7,752,733,700,651,596,520,-232,234,0.0,Unknown,Unknown,Unknown
Venezuela,3426996,21,11355475,15210443,19750579,24427729,28715022,28490453,17134978,50,0.36,30,2.3,-653249.0
Vietnam,10943967,18,41928849,52968270,66912613,79001142,87411012,96648685,54719836,15,1.23,32,2.1,-80000.0
Wallis and Futuna,456,5,9377,11315,13454,14723,13142,11655,2278,226,0.0,Unknown,Unknown,Unknown
Western Sahara,95935,49,76371,116775,178529,270375,413296,556048,479677,172,0.01,28,2.4,5582.0
Yemen,5088088,36,6843607,9204938,13375121,18628700,24743946,32284046,25440439,46,0.41,20,3.8,-30000.0
Zambia,2929209,35,4281671,5720438,7686401,9891136,13792086,18927715,14646044,66,0.24,18,4.7,-8000.0
Zimbabwe,2093350,25,5202918,7049926,10113893,11834676,12839771,15669666,10466748,74,0.2,19,3.6,-116858.0
